品番	名前	card_id	url	メモ
294/XY-P	マリオピカチュウ（大）			
296/XY-p	ルイージピカチュウ（大）			
279/XY-P	ピカチュウ(ポケモンカードゲーム 20th アニバーサリーフェスタ) PROMO 279/XY-P			
207/XY-P	ポンチョを着たピカチュウ(メガリザードンX) PROMO 207/XY-P			
208/XY-P	ポンチョを着たピカチュウ （オレンジリザードン）			
231/XY-P	ポンチョを着たピカチュウ （黒レックウザ）			
230/XY-P	ポンチョを着たピカチュウ			
013/SM-P	スカル団ごっこピカチュウ（大）			
229/BW-P	ピカチュウ(ポケモンセンター15周年 カードプレミアムセット) PROMO 229/BW-P			
150/XY-P	コイキングごっこピカチュウ PROMO 150/XY-P			
151/XY-P	ギャラドスごっこピカチュウ			
090/XY-P	ピカチュウ （2014 バトルフェスタ ゲンガー）			
094/087	ピカチュウEX(アイアンテール:CP6)たいでん			
227/S-P	ピカチュウ（見返り）			
400/SM-P	ピカチュウ(SR仕様) （リミテッド）			
010/032	ピカチュウ ４匹			
085/SV-P	ゴッホピカチュウ(英語版)[SVPEN] P 085/SV-P			
055/SM-P	イースターのピカチュウ			
205/172	ピカチュウ（AR はっぱ）			
098/XY-P	メガトウキョーのピカチュウ（ちび）			
203/XY-P	ポンチョを着たピカチュウ （３匹 ルカリオ）			
221/XY-P	お公家さまと舞妓はんピカチュウ			
005/SM-P	サッポロのピカチュウ			
088/SM-P	トウホクのピカチュウ			
211/SMｰP	桜アフロのピカチュウ			
280/SM-P	ヨコハマのピカチュウ（潜水艦）			
281/SM-P	ヨコハマのピカチュウ（アヒルボート）			
282/SMｰP	ヨコハマのピカチュウ （３匹）			
224/SMｰP	ピカチュウ(花束)			
323/S-P	ピカチュウ （プレシャス）			
114/100	ピカチュウVMAX			
025/165	ピカチュウ マスボ			
001/S-P	ピカチュウ（アイアンテール）			
208/S-P	ピカチュウ (YU NAGABA) PROMO 208/S-P			
144/S-P	カナザワのピカチュウ(マークあり)			
260/SV-P	トウホクのピカチュウ【P】			
261/SV-P	ヒロシマのピカチュウ【P】			
289/SV-P	フクオカのピカチュウ【P】			
001/SV-P	ピカチュウ スカバイプロモ			
008/032	ピカチュウ(クラシックキラ）			
270/SM-P	レッドのピカチュウ PROMO 270/SM-P			
073/071	ピカチュウ 女主人公			
075/069	シャワーズV(SA)【SR】			
081/069	エーフィV(SA)【SR】			
073/069	ブースターV			
079/069	サンダースV(SA)【SR】			
083/069	ニンフィアV(SA)【SR】			
071/069	リーフィアV			
077/069	グレイシアV(SA)【SR】			
085/069	ブラッキーV			
068/187	ニンフィア/マスターボールミラー			
062/187	エーフィ/マスターボールミラー			
030/187	シャワーズ/マスターボールミラー			
051/187	サンダース/マスターボールミラー			
040/187	グレイシア/マスターボールミラー			
021/187	ブースター/マスターボールミラー			
002/187	リーフィア/マスターボールミラー			
092/187	ブラッキー/マスターボールミラー			
125/187	イーブイ/マスターボールミラー			
069/SV-P	グレイシア(YU NAGABA)			
068/SV-P	リーフィア(YU NAGABA)			
067/SV-P	ブラッキー (YU NAGABA) P 067/SV-P			
066/SV-P	エーフィ(YU NAGABA)			
064/SV-P	サンダース(YU NAGABA)			
065/SV-P	ブースター(YU NAGABA)			
063/SV-P	シャワーズ(YU NAGABA)			
062/SV-P	イーブイ(YU NAGABA)			
070/SV-P	ニンフィア(YU NAGABA)			
205/187	シャワーズex			
212/187	ニンフィアex			
217/187	ブラッキーex			
209/187	サンダースex			
200/187	リーフィアex			
206/187	グレイシアex			
202/187	ブースターex			
224/187	イーブイex ケーキ			
223/187	イーブイex			
201/165	リザードンex【SAR】 151			
202/165	カメックスex 151 SAR			
200/165	フシギバナex 151 SAR			
205/165	ミュウex SAR １５１			
221/172	ミュウツーVSTAR			
212/172	リザードンVSTAR			
349/190	リザードンex （シャイトレ）			
240/193	メガゲンガーex【SAR】 [M2a]			
347/190	ミュウex SAR （シャイトレ しゃぼんだま）			
125/098	ロケット団のミュウツーex			
261/172	ギラティナVSTAR			
071/067	オリジンパルキアV(SA)			
075/067	オリジンディアルガV(SA)			
112/100	アルセウスV(SA)			
080/073	コイキングAR			
110/080	メガリザードンXex【SAR】			
211/172	(PSA10)リザードンV			
134/108	リザードンex SAR （黒煙）			
124/098	ロケット団のファイヤーex 124/098			
168/086	(PSA10)レシラムex【SAR】			
169/086	PSA10)ゼクロムex【SAR】			
	(PSA10)レシラムex【BWR】			
174/086	(PSA10)ゼクロムex【BWR】			
101/078	サーナイトex			
090/066	ゲッコウガex SAR			
127/100	Nのゾロアークex【SAR】			
087/063	シロナのガブリアスex			
086/063	ヒビキのホウオウex			
234/193	ピカチュウ			
237/193	ロケット団のミュウツーex			
001/025	リザードン[S8a-P] - 001/025			
002/025	フシギバナ[S8a-P] - 002/025			
003/025	カメックス[s8a-P] - 003/025			
010/025	ひかるコイキング 25th			
012/025	ブラッキー☆[S8a-P] P 012/025			
095/069	ブラッキーVMax （高い方）			
093/069	ニンフィアVMAX（高いほう）			
091/069	グレイシアVMAX			
089/069	リーフィアVMAX			
189/SｰP	エーフィVMAX			
245/184	ブラッキーVMAX 安い方			
232/184	ニンフィアVMAX 安い方			
103/100	リザードンV(SA)【SR】 （フシギバナと戦ってる）			
308/190	リザードンVMAX【SSR】 黒			
020/019	ゲンガーVMAX			
119/100	ミュウVMAX HR			
083/067	レックウザ			
252/184	(PSA10)レックウザVMAX			
110/098	ルギアV			
076/067	レックウザV			
187/S-P	シャワーズVMAX(夏ポケカ) PROMO 187/S-P			
188/S-P	サンダースVMAX(夏ポケカ) PROMO 188/S-P			
186/S-P	ブースターVMAX(夏ポケカ) PROMO 186/S-P			
240/150	レックウザGX SSR			
052/051	リザードンGX （SR 赤背景）			
175/173	デデンネGX			
104/S-P	リザードンVMAX(HR仕様)			
103/S-p	リザードンV（ピンク背景）			
175/S-P	セレビィV(SA)			
111/100	ギラティナV			
222/184	ピカチュウV （主人公と一緒 青背景）			
074/071	ミュウツーV(SA)			
105/095	ラティアス＆ラティオスGX			
101/095	ピカチュウ＆ゼクロムGX			
103/095	ゲンガー&ミミッキュGX			
182/173	ブラッキー&ダークライGX			
098/094	ミュウツー＆ミュウGX			
068/064	リザードン&テールナーGX			
063/049	ソルガレオ&ルナアーラ SR			
186/173	トゲピー&ピィ&ププリンGX			
177/173	エーフィ＆デオキシスGX			
229/150	ブラッキーGX （SSR）			
209/150	リザードンGX（SSR）			
038/095	ゲンガー＆ミミッキュGX			
060/054	ファイヤーサンダーフリーザーGX			
060/054	ガブリアス＆ギラティナＧＸ ＳＲ			
104/095	メガミミロップ＆プリンGX			
297/SM-P	イーブイ＆カビゴンGX SR			
059/055	(PSA10)ゲッコウガ＆ゾロアークGX(SA)【SR】			
064/049	レシラム＆ゼクロムGX(SA)【SR】			
119/114	リーリエ			
066/060	帽子リーリエ			
056/049	アセロラ			
401/SM-P	アローラの仲間たち			
185/171	サナ （旧サナ）			
181/171	オカルトマニア			
184/171	こわいおねえさん			
086/080	ポケモンセンターのお姉さん（旧）			
082/076	アイリス			
201/173	レッドの挑戦 （青）			
193/173	グリーンの戦略 （赤）			
061/054	ブルーの探索 （亀なし）			
196/173	ブルーの探索 （亀あり）			
118/114	スイレン			
055/050	マオ			
120/114	ルザミーネ(黒)			
055/050	ルザミーネ（白）			
192/173	かんこうきゃく			
	マオ&スイレン			
191/173	カスミ&カンナ[SM12a] SR 191/173			
106/095	シロナ&カトレア			
100/094	おじょうさま （旧）			
	ナタネ SR			
109/095	ナツメの暗示			
067/049	メイ			
062/054	ムサシとコジロウ			
104/094	カスミのおねがい			
099/073	キハダ SAR			
089/062	パラソルおねえさん(SAR)傘さし			
131/102	タロ SAR			
130/101	ゼイユ			
092/066	サザレ			
097/071	ベルのまごころ			
258/184	ガラルの仲間たち			
246/172	カミツレのきらめき （椅子に座ってる）			
080/070	カトレア			
096/071	ナンジャモ			
350/190	ナンジャモ[SV4a] SAR 350/190			
091/071	ナンジャモ			
068/060	マリィ[S1H] SR			
198/190	マリィ （シャイニー）			
419/414	マリィのプライド			
070/066	シロナ （指さし）			
153/150	シロナ 【SR】			
239/172	シロナの覇気【SAR】			
068/049	リーリエの全力【SR】			
091/063	(PSA10)リーリエの決心【SAR】{091/063} [M1L]			
236/172	カイ【SAR】			

